Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
三義串起來,,306794596183121,none,,,,4447,N/A,2022-10-04 01:41:45 EDT,2022-10-04,01:41:45,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/306794596183121/permalink/2024032547792642,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-38
三義串起來,,306794596183121,none,,,,4447,N/A,2022-10-04 01:41:21 EDT,2022-10-04,01:41:21,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/306794596183121/permalink/2024032357792661,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-38
沙鹿好地方,,853518284737226,none,,,,19999,N/A,2022-10-04 01:40:20 EDT,2022-10-04,01:40:20,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/853518284737226/permalink/5601389499950057,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-20
幸福清水鰲峰山高美濕地山海戀,,483419045183022,none,,,,2148,N/A,2022-10-04 01:39:25 EDT,2022-10-04,01:39:25,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/483419045183022/permalink/2062018960656348,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-18
豐原大小事,,986176341528706,none,,,,51176,N/A,2022-10-03 07:02:21 EDT,2022-10-03,07:02:21,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/986176341528706/permalink/2964843123662008,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-22
我是台中北屯人,,422035941546773,none,,,,22156,N/A,2022-10-03 06:23:09 EDT,2022-10-03,06:23:09,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/422035941546773/permalink/1585895691827453,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-44
苑裡心連心,,171151353294022,none,,,,7027,N/A,2022-10-03 04:03:17 EDT,2022-10-03,04:03:17,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/171151353294022/permalink/1376343962774749,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-0.88
新月出版社,CrescentFamily,100063695636336,TOPIC_PUBLISHER,TW,"◎客服信箱 order@crescent.com.tw
◎客服電話 (02)2930-1211
◎投稿/畫稿 請來信 crescent.official@crescent.com.tw",2010-09-09 07:40:06,16620,16718,2022-10-03 03:00:06 EDT,2022-10-03,03:00:06,Photo,69,64,2,2,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063695636336/posts/511906760942507,【下午三點時刻●午茶時間】 　 感謝蒔蘿老師送來的奶油酥餅！ 上班有點心吃，是超幸福的一件事呀～ － 還有貓可以吸（誤 － 總之大家也請多支持老師作品喔！ ＞＞＞＃蒔蘿老師作品集 https://bit.ly/2wwmLT4:=:https://shopping.crescent.com.tw/tw/books/books_list.aspx?kw=%E8%92%94%E8%98%BF,https://www.facebook.com/photo.php?fbid=511906744275842&set=a.484456673687516&type=3,,,,,,,,1.57
Panasonic BS603蒸烘烤微波爐使用心得分享,,227935927694386,none,,,,6484,N/A,2022-10-02 10:25:23 EDT,2022-10-02,10:25:23,Native Video,23,23,0,0,0,0,0,0,0,0,owned,-,0,0,0,00:00:00,https://www.facebook.com/groups/227935927694386/permalink/1415730418914925,#BS603 #奶油小酥餅 平常最喜歡吃玉珍馨的奶油酥餅，想來試試看能不能復刻🤣，剛做好的皮很香脆，內餡會爆漿，等明天冷卻後的內餡會不會變成我要的感覺😆 手續有點小複雜，要準備水油皮，油酥，內餡， 然後用小包酥方式開酥後包餡，手壓平成薄餅後後畫刀避免爆漿。 170度15～17分,https://www.facebook.com/groups/227935927694386/permalink/1415730418914925/,,,Photos from Edison Huang's post,,,,,-1.52
幸福清水鰲峰山高美濕地山海戀,,483419045183022,none,,,,2149,N/A,2022-10-02 06:40:27 EDT,2022-10-02,06:40:27,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/483419045183022/permalink/2060296404161937,奶油小酥餅首創店、每天麵包新鮮出爐、還有咖啡免費品嚐喔,https://mari.tw/redsakura/,,,紅櫻花食品總店｜台中大甲必訪的首創大甲奶油小酥餅店 台灣伴手禮推薦 備停車場與寬敞休息區 - 瑪莉食報,將大甲奶油酥餅首創成大甲奶油小酥餅的紅櫻花食品，多年來一直都是大甲在地人熟悉的老味道、親切的老鄰居，更是年節贈 […],,,,-0.94
