Page Name,User Name,Facebook Id,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,URL,Message
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-06-26,04:01:45,Photo,28767,23080,3235,315,1685,6,24,10,113,299,https://www.facebook.com/100044017724738/posts/582999876510598,「抗癌小天使」潘盈希小妹妹不僅勇敢對抗病情，更是一位小畫家，用創作帶給很多人鼓勵。 前陣子，盈希許下三個願望，其中一個是想找蔡想想。今天，我邀請盈希一家人來官邸，除了帶他們認識蔡想想，也一起介紹我家其他的毛小孩：阿才、樂樂、Bella、Bunny和Maru。 雖然害羞的阿才一直躲起來，不太給我面子，不過，看到人就很興奮的樂樂，倒是跟盈希姊妹倆玩丟接球玩得蠻開心的。 不只盈希勇敢接受治療，盈希的爸爸媽媽也很努力照顧孩子，並把這份經驗分享給社會，幫助更多人，真的很令人敬佩。 我也要謝謝 鄭文燦 市長 以及 鄭運鵬 委員，先前協助盈希盡速解決確診通報等行政問題，讓她獲得妥善的治療照顧。 相信大家都為盈希一家人的努力而感動，希望盈希能繼續加油，盡情享受創作的快樂！
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-06-25,02:44:10,Photo,27039,22137,3930,307,203,9,50,8,188,207,https://www.facebook.com/100044017724738/posts/582281783249074,今天，我和 盧秀燕 市長 蔡其昌 副院長 來到 #國軍台中總醫院，持續為第一線的同仁打氣。我們國軍除了保家衛國，也守護人民的健康，我特別來現場致上我的謝意。 國軍台中總醫院是台灣重要的戰備醫院和區域醫院，不僅服務中部地區民眾，也協助馬祖西莒的衛生所看診治療，守護離島民眾的健康。 尤其過去兩年多來，國軍台中總醫院肩負國軍官士兵疫苗施打，以及PCR篩檢的任務，也配合開設專責病房，還有幫民眾施打疫苗等工作，真的非常謝謝我們的醫護同仁。 國軍台中總醫院的努力，也獲得民眾的感謝和肯定，很多企業一起來支持他們做防疫工作，像是蔡其昌副院長也率團捐贈了N95口罩和防護衣。 現階段，我們要持續提升兒童的防護力，除了前幾天，第二劑5到11歲的兒童輝瑞疫苗已經開打，這個月底前，指揮中心專家會議也將會討論6個月到5歲的幼兒疫苗施打。 我也請指揮中心和地方溝通協調，並請盧市長和台中市府團隊妥善規劃，希望提供給我們的家長和小朋友更舒適、更方便的服務。 相信中央地方繼續攜手合作，穩健防疫，一定可以克服疫情挑戰，走向疫後正常生活！
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-06-24,01:36:33,Photo,21138,16437,3751,353,252,2,36,2,226,79,https://www.facebook.com/100044017724738/posts/581574356653150,最近，有一部很紅的台劇《村裡來了個暴走女外科》，相信有看劇的朋友，都會被外科女醫師的熱血和專業帥到！ 帥氣的女醫師不是只有在台劇，台灣的各個角落，還有更多這樣帥氣又專業的女醫師。 從疫情發生以來，我們都看到，許多支援第一線的女醫師，承擔起高壓的責任，用耐心和專業安撫民眾的不安。還有許多醫師媽媽兼顧起防疫和照顧家庭的工作，是病人與孩子的超級英雄。 在社會中，我們也有很多女醫師積極用專業，向社會破除女性身體健康的迷思，讓科學事實來說話，也幫助女性用更健康的態度照顧自己的身體，為社會帶來很重要的進步。 除了醫療貢獻，我們的女醫師也很積極在國際上發揮影響力。今年，經過台灣女醫師協會的爭取，國際女醫師協會（MWIA）世界大會首度在台灣舉辦，對女醫師別具意義，也讓台灣的防疫經驗被世界看見！ 面對疫情，不只在台灣，全球各地的女醫師都共同扛起了防疫工作，為人類的健康帶來非常重要的貢獻，而女醫師的專業和敬業也就是提升女性賦權的最好展現，我要謝謝每一位守護健康的女醫師！ 更多醫療前線的小故事，歡迎來我的podcast #耳朵出遊不出油，聽高人氣 小劉醫師-劉宗瑀Lisa Liu粉絲團的分享，馬上來收聽： ＊Apple ：https://reurl.cc/M0x5Vp ＊Spotify：https://reurl.cc/b2j83l ＊KKBOX：https://reurl.cc/g2jypQ ＊Google：https://reurl.cc/e34laW ＊Firstory：https://reurl.cc/lojrQ6
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-06-23,07:38:02,Photo,23167,18173,3932,362,160,10,113,5,291,121,https://www.facebook.com/100044017724738/posts/581017656708820,新竹人等了三十年的建設 #公道三路，終於要在後天通車了。 公道三路開通後，不僅打通新竹市交通外環系統，紓解市區塞車的問題，更能夠促進區域的發展，這是市民期盼很久的建設，我要謝謝新竹市府團隊的努力。 從1991年，公道三路被提出來後，這項高度困難和複雜的建設，歷經四位市長都沒辦法實現，但 林智堅 市長的團隊做到了。其中， 沈慧虹 副市長從過去接任交通處長，第一項任務就是新建公道三路。 這一路走來，市府團隊做出完善的規劃，也積極向中央爭取資源。為了加快進度，沈副市長更親自帶領市府團隊，到內政部報告了好幾次。在地方上，市府團隊也非常努力跟原住戶溝通，挨家挨戶的拜訪。 沈副市長也經常跟同仁到第一線溝通，這當中遇到了很多挑戰，甚至家戶拜訪的時候被民眾趕出來，但是沈副市長沒有放棄，她用溫柔又專業的力量，幫助智堅市長落實政見，完成了市民期待已久的建設。 這項建設充分展現出，新竹團隊的整合力、執行力和創新力。包括智堅市長大力推動的城市美學，也運用在公道三路及周邊的道路，讓這個區域的交通，有了全新的面貌。 台灣的進步和改變，就從每項地方建設開始，相信「新竹經驗」不僅可供其他縣市借鏡，未來也一定能為新竹市的發展，完成更多不可能的任務！
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-06-23,06:07:45,Photo,16604,14043,1664,291,152,9,44,8,207,186,https://www.facebook.com/100044017724738/posts/580959546714631,面對瞬息萬變的國際情勢，以及氣候變遷的影響，不論是軍事威脅，或是土石流、地震及疫病等挑戰，都是我們要謹慎防範的重要議題。 今天，我和 鄭文燦 市長參加 #民安8號演習，我相信要守護國家人民安全，除了軍、警、消等政府機關同仁堅守崗位，全體國人也必須具備災防意識，全力配合，這也是我們舉辦防救災演習的重要原因。 在這次的演習中，首度由國防部研議加入戰時情況下的災害搶救作為，並且由桃園市政府主導，將 #跨區救災能量整合，以及 #民防團隊運用 等防救災課題，納入演練。 最重要的，就是要 #強化中央到地方的統籌能力，以及 #全民防衛的動員量能，來確保各級政府，不論是在戰時或災時，都能發揮功能，維持社會民生的正常運作，減少人民生命財產的損失。 今天，我們也看見了「關鍵基礎設施反敵特工破壞演練」，以及「毒化災搶救演練」等情況處置，同仁的反應都非常迅速，值得肯定。 只要我們持續強化演練，將災防意識落實在日常當中，一定能讓台灣在面對各項挑戰時，更加具有韌性和應變能力。 我也要謝謝所有參與演習的同仁，包括軍、警、消、醫護以及市府團隊，不論在疫情期間或面對任何災害，都堅守第一線，守護我們的安全。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-06-23,00:27:05,Photo,33376,27695,3991,602,258,28,144,16,356,286,https://www.facebook.com/100044017724738/posts/580788870065032,這兩年來全世界都受到疫情挑戰，台灣的經濟表現能夠有相對較好的表現，靠的是政府和全民的共同努力。現在我們要逐漸邁向疫後正常生活的新階段，我們不只要持續拚防疫，也更要一起全力拚經濟！ 今天我出席了南亞科技新廠的動土典禮，這座新廠，將會投入自主研發10奈米級DRAM技術，也代表台塑集團將會邁向DRAM技術自主，這也是台灣的高科技產業，布局元宇宙商機，非常重要的一步，這是 #護國群山再加一！ 這幾年來，我們積極鼓勵「投資台灣」，現在不只有外資來台、台商回台，本土廠商也加碼投資。這些資金跟產業能量的匯集，展現了大家對台灣經濟的信心。 感謝南亞科技，這幾年來持續深耕台灣，這座新廠，總共投入三千億元，也將會帶動台灣半導體產業非常重要的發展，也是 #投資台灣再加一 。 台灣的半導體產業在全世界供應鏈當中佔有關鍵地位，去年半導體產值，達到新台幣4.1兆元，提供就業人數將近25萬人，半導體產業是推進台灣整體經濟的重要動力。 我們這兩年，陸續設置六所「半導體學院」，培育更多高科技人才，提升人才素質及研發水準，目標是將台灣打造成為亞洲 #半導體先進製程中心，並且持續提升台灣在全球產業鏈的關鍵地位！ 現在，在全世界都面臨疫情挑戰的情況底下，台灣的經濟發展，能夠不斷前進，除了因為產業界的努力，我們基層第一線的醫護和防疫人員的努力，也非常重要。 面對百年大疫，大家都很辛苦，但只要中央和地方攜手合作，政府和人民站在一起，正面回應人民的需求，積極協助產業的問題，我們一定能夠攜手度過挑戰，創造更好的未來。
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-06-22,07:25:04,Photo,19690,15227,3404,349,181,11,69,17,333,99,https://www.facebook.com/100044017724738/posts/580212670122652,晚餐時間，跟大家分享來自各國的特色美食。 今天上午，我參加 #台北國際食品系列展，現場不僅有日本的和牛，還有美國的啤酒、立陶宛的巧克力等，非常豐富。 食神的佛跳牆大家可能看多了，但台灣和中南美洲友邦合製的佛跳牆，有夠鮮。還有用立陶宛麵粉製作的糕點，看起來真的很可口。 雖然最近，台灣的石斑魚被片面暫停輸入中國，但我們也看到，日本福島的漁產養殖業者說，「透過吃 #民主的魚，來聲援台灣」，也表達將協助台灣石斑魚進口日本。 許多跟台灣共享民主價值的國際夥伴，站出來支持台灣的漁民，這份互助的情誼，都讓我們很感動。我們也相信，在民主盟友的互助之下，可以克服一切挑戰。 今年的食品展一共有來自四大洲，23國的特色美味，是 #民主好物，更是 #民主良品，邀請大家一起來支持，讓台灣跟民主盟友的互助力量更強大！
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-06-22,06:33:21,Photo,17339,13677,2641,226,129,8,125,11,331,191,https://www.facebook.com/100044017724738/posts/580176503459602,過去這段時間，全國疫情呈現下降的趨勢，我要謝謝第一線防疫和醫護人員的辛勞，還有國人的團結努力，我們會繼續團結防疫，維持政治經濟局勢的穩定，穩健地一步步走向疫後正常生活。 距離年底九合一選舉，只剩下五個月的時間，我們有責任推出最優秀的候選人，回應人民的期待，繼續實現 #中央地方會做事 #打造五星級城市。 今天，我們分別提名蔡適應委員、林智堅市長、沈慧虹副市長，參選基隆市、桃園市和新竹市市長。 ✅基隆市長候選人 蔡適應 蔡適應是連續七個會期，國會評鑑的優秀立委，是最能延續右昌市長施政的候選人。他跟右昌市長，都具備都市規劃的專業，也共同推動市政藍圖，這幾年，基隆的每一項重大建設，從市港再生到基隆捷運，適應委員都全程參與，積極協助。 適應深耕基隆超過二十年、服務市民超過二十年；過去六年來，他每天早上在國會，為地方爭取建設，晚上回到基隆服務，照顧基隆鄉親的需求。我有信心，優秀立委蔡適應一定可以延續優質市長 林右昌UChange 的好成績。 ✅桃園市長候選人 林智堅 桃園和新竹是共同生活圈，過去這幾年來，無論在區域治理、交通規劃、產業發展，或是防疫工作上，桃園和新竹都高度連動，桃園隊和新竹隊也都密切合作。 特別是，這幾年來，從桃園到新竹串連而成的高科技廊帶，我們的護國神山，更已經成為驅動全球產業的「世界引擎」。 鄭文燦是我們的五星級市長，從桃園2014年升格後，加速推動城市轉型，各項重大建設也光速前進，現在的桃園已經#登大人。未來，我們需要有豐富經驗的治理人才，把「桃園正好」延續下去，讓桃園更好！ 我有信心，五星級市長林智堅一定可以接棒五星級市長鄭文燦。智堅也是我們的「桃園女婿」，桃園女婿回娘家服務，我相信，他的政績、他的執行力、他的新竹城市美學經驗，一定可以延續桃園五星級的治理。 ✅新竹市長候選人 沈慧虹 未來，我們更要讓桃園和新竹強強相加，壯大桃竹的發展，讓護國神山，成為台灣的「護國靠山」。林智堅是五星級的市長，他的「最佳搭檔」沈慧虹，就是我們的五星級副市長！ 過去這幾年，我常去新竹市，每次都看到城市的進步和改變，智堅對市民朋友的承諾都一一在實現，包括：動物園的重生、兒童醫院的落成到這個禮拜即將通車的 #公道三。新竹的改變，沈慧虹全程參與。 沈慧虹是交通專家，也具有豐富的歷練。她從基層到中央，總是在第一時間，總是在第一線，總是用專業第一的角度，傾聽意見、耐心溝通，不但規劃政策，更是親力親為，落實執行。 過去八年的新竹經驗，就是沈慧虹的經驗，我相信，五星級副市長沈慧虹，一定能無縫接軌五星級市長林智堅的經驗。 從蔡適應、林智堅到沈慧虹，每一位都是最有經驗的即戰力，也是最強人選。城市的進步，一天都不能停下腳步，我們的候選人將全力爭取市民的支持，延續執政團隊 #會做事 的招牌。 接下來的五個月，我們一起全力以赴，團結邁向勝選！
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-06-22,02:23:23,Live Video Complete,5841,2509,2529,149,170,3,59,6,353,63,https://www.facebook.com/100044017724738/posts/450653703564643,2022.6.22中執會通過，最新一波縣市首長被提名人！ 我要向大家推薦「中央地方會做事、打造五星級城市」的優秀被提名人選，歡迎大家一起加入直播！ 💪桃園市長被提名人 林智堅 💪基隆市長被提名人 蔡適應 💪新竹市長被提名人 沈慧虹
蔡英文 Tsai Ing-wen,tsaiingwen,100044017724738,2022-06-20,05:51:55,Photo,18406,12824,4610,310,135,5,53,14,291,164,https://www.facebook.com/100044017724738/posts/578762280267691,"50.4萬劑輝瑞兒童疫苗到貨！持續提升孩子的保護力！ 這幾天，5-11歲兒童接種第二劑疫苗，將在各縣市陸續進行，今天也共有50.4萬劑輝瑞兒童疫苗到貨，提供給家長選擇，持續提升我們孩子的保護力！ 我也要向大家報告，截止至今(6/20)日，5-11歲兒童第一劑疫苗，接種輝瑞兒童劑型疫苗共778,263人次，莫德納疫苗共 285,447人次。總共已經有超過百萬人次的5-11歲兒童，接種了第一劑疫苗。 我要謝謝家長們配合，這段時間，踴躍帶家裡的寶貝前往接種疫苗，政府也會全力確保疫苗供貨，一起保護我們的孩子。 我知道許多家長，也都很關心小小孩接種疫苗的資訊，目前，食藥署已經核准莫德納疫苗的EUA，可以用於6個月至5歲兒童，後續接種計畫將待ACIP在這個月底前決議。 防疫努力到現在，不論是爸爸媽媽、醫護人員真的都很不容易，我們繼續一起努力，疫情一定會逐漸趨緩！"
