"text","id","created_at","war"
"our capital @Kyiv is proud, and for a good reason https://t.co/oBgd9MMSHW","1540740170776846339","2022-06-25T16:54:16.000Z",TRUE
"they said ‘yes’, 27 times 🇺🇦🇪🇺","1540064352618815490","2022-06-23T20:08:49.000Z",TRUE
"Fellow Ukrainians in Melitopol! Russian occupation is temporary. Ukraine has not forgotten you. Ukraine fights and will soon be back!

Melitopol is 💛💙

art by Marichka Ruban
https://t.co/htfgEYKQN8 https://t.co/jxK1AovcX8","1536634128673689600","2022-06-14T08:58:20.000Z",TRUE
"start your week by bringing Ukrainian victory closer ✌️🇺🇦

1. go to UNITED24 https://t.co/lA8zsnsnbY
2. choose: defence and demining, medical aid or rebuilding Ukraine
3. donate in one click
4. share (tag a rich friend😁)
5. be sure: a donation a day keeps Russian invaders away!","1536403861224792065","2022-06-13T17:43:20.000Z",TRUE
"Fellow Ukrainians in the areas temporarily occupied by Russia: Ukraine misses you, Ukraine fights for you, Ukraine will soon be back!

Kherson is Ukraine 💛💙

art by Marichka Ruban
https://t.co/pVefpnzMTl https://t.co/9HXjtuxfxF","1536258685663576069","2022-06-13T08:06:27.000Z",TRUE
"which side are you on?

      🇺🇦                      🇷🇺 

democracy        dictatorship
civil society       cult of personality
humanity           war crimes
diversity             hatred
facts                   fakes
defense              aggression

...add your items to the list","1534832733637287936","2022-06-09T09:40:14.000Z",TRUE
"Ukrainians in territories temporarily occupied by Russia resist invaders and reject their rule. We honor their bravery and want each one of them to know: Ukraine admires you, Ukraine misses you, Ukraine will be back!

🎥: ⁦⁦@brave_ua⁩ 🇺🇦⁩ https://t.co/mJvvVy8DQu","1533743089856270336","2022-06-06T09:30:22.000Z",TRUE
"STRONG THANKS FROM UKRAINE

to ALL of our partners, organizations, and friends around the globe

THANK YOU for standing by the people of Ukraine

together we will win 🇺🇦✌️

🎥: ⁦@BandaAgency⁩ https://t.co/IaauAR8dVA","1532738048479436800","2022-06-03T14:56:42.000Z",TRUE
"100 days ago Russia aimed to destroy us in a matter of days. Today, we keep standing tall and destroying the invaders.

Keep supporting Ukraine!
We will prevail 🇺🇦✊🏼
#StandWithUkraine #ArmUkraineNOW
art by Nikita Titov https://t.co/lLQrKfyJAs","1532625810179366913","2022-06-03T07:30:42.000Z",TRUE
"#ArmUkraineNow https://t.co/1pFBylT3cX","1530979763803799552","2022-05-29T18:29:54.000Z",TRUE
"World leaders &amp; stars gather today in Kyiv and Berlin with one goal: 19 surgical C-arm X-ray machines for Ukraine. 

Join today our charity telethon, enjoy best of the best of #Ukiebeats🎶 &amp; #StandWithUkraine!

Learn more: https://t.co/palIGHyQVL

Donate: https://t.co/1TAEtXrKdH https://t.co/Gk0FKpOFf7","1530928080277192704","2022-05-29T15:04:32.000Z",TRUE
"📸📷: Imagebank https://t.co/1ce8ZJ144F, Bohdan Susol, Maksym Tymchuk, Nikita Yerenyev/Depositphotos, Anton Borodachev’s blog","1530893794740256770","2022-05-29T12:48:17.000Z",TRUE
"Greetings to our brave and free capital @Kyiv on its day 🇺🇦✌️ https://t.co/ptm1zP2URb https://t.co/W8Y1UEySNi","1530893376735821824","2022-05-29T12:46:38.000Z",TRUE
"@StephenKing Glory to the heroes! 
thanks, @StephenKing 🇺🇦✊🏼","1530651365994815499","2022-05-28T20:44:58.000Z",TRUE
"@Lithuania bestie 🤜🤛","1530629309785853953","2022-05-28T19:17:19.000Z",TRUE
"Simply wow, @Lithuania 💛💚❤️ 
We will never forget what you did for us on so many fronts. Ačiū to every Lithuanian who donated, your present will be put to good use 😎 https://t.co/vL686yLmra","1530627598593695746","2022-05-28T19:10:31.000Z",TRUE
"https://t.co/Sxjzolvup2","1530612227350401026","2022-05-28T18:09:27.000Z",TRUE
"Best Vyshyvanka Day greetings from our deminer star Patron The Dog 🐶 https://t.co/ShTPu8q60L","1527256230904725505","2022-05-19T11:53:55.000Z",TRUE
"#OTD in 1944 Stalin forcefully deported 200k Crimean Tatars from their native @Crimea. Many of them died. Since 2014, Russia has been forcing Crimean Tatars out again, persecuting them, and now it deports people from all over the occupied territories. Unpunished evil as it is.","1527020314584043520","2022-05-18T20:16:28.000Z",TRUE
"Official Mother Stefania video by KALUSH Orchestra. To all Ukrainian mothers who go through this horrible war.

227 Ukrainian children have already been killed by Russian monsters, many more injured physically and mentally.

Ukraine will prevail. For every child and every mother. https://t.co/Syd8nMlnuN","1525768621380755456","2022-05-15T09:22:41.000Z",TRUE
"@thisisFINLAND @Eurovision kiitos, Suomi 🤍💙","1525623426488188929","2022-05-14T23:45:44.000Z",TRUE
"@thisisFINLAND kiitos suomalaiset ystävät 🤍💙","1525621729443336197","2022-05-14T23:38:59.000Z",TRUE
"@Lithuania ačiū dear, dear friends 🇱🇹 
#MonikaLiu was great 💛💚❤️ https://t.co/Ej4KdlpaOa","1525620624835678214","2022-05-14T23:34:36.000Z",TRUE
"you have melted our hearts, friends #Eurovision 💛💙...

...and it matters the world to us during this time 💔

we send all your love and support to our brave freedom defenders at Azovstal and along the frontline

congrats, KALUSH Orchestra 🏆🇺🇦 

#SaveMariupol #SaveAzovstal https://t.co/Vt7WzpMHFQ","1525612438661615617","2022-05-14T23:02:04.000Z",TRUE
"🇺🇦🤝🇺🇸 https://t.co/a64YG9qHmZ","1523765028796911616","2022-05-09T20:41:07.000Z",TRUE
"@CurlyBasta not sure 🤔","1523653632285024263","2022-05-09T13:18:28.000Z",TRUE
"many thanks to @eucopresident @CharlesMichel for his continued support of Ukraine and welcome to Odesa 🇺🇦","1523650362086895617","2022-05-09T13:05:29.000Z",TRUE
"our PM on the right https://t.co/ZTdhmGYULI","1523649257349140481","2022-05-09T13:01:05.000Z",TRUE
"victory parody https://t.co/6vM0hEWTp3","1523574072990261248","2022-05-09T08:02:20.000Z",TRUE
"When the night has come… 

…@U2 stands by U. 

Kyiv, Khreshchatyk metro station, 8 May 2022 https://t.co/JI2G7Uccoo","1523370733560373250","2022-05-08T18:34:20.000Z",TRUE
"thanks to @vitscheberlin &amp; @pileckiinstitut for this piece of video art 🇺🇦","1522625169554092032","2022-05-06T17:11:44.000Z",TRUE
"where there’s a tractor, there’s a way https://t.co/CVX7EeF1Zf","1522625050607767558","2022-05-06T17:11:15.000Z",TRUE
